CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1690295,SDH,Ron Sloy,"Sloy Dahl & Holst, LLC",,https://sdh-inc.com/,,,,,0
1607512,Segra,Adam Rodman,"Segra Capital Management, LLC",,https://segracapital.com/,,,,,0
1565432,Selkirk,Stewart Strawbridge,Selkirk Management LLC,,https://selkirkpartners.com/,,,,,0
1537530,Sequoia,Jeffrey Wang,"SCGE Management, L.P.",,https://www.sequoiacap.com/scge/,,,,,0
1622346,Shanda,Tianqiao Chen,Shanda Asset Management Holdings Ltd,,https://www.shanda.com/,,,,,0
1301050,Shannon River,Spencer Waxman,Shannon River Partners LP,,http://www.shannonpartners.com/,,,,,0
1818890,Sharp,Ivan Guetta,Sharp Capital Gestora de Recursos Ltda.,,https://sharpcapital.com.br/,,,,,0
1738728,Silvant,Marc Schneidau,Silvant Capital Management LLC,,https://www.silvantcapital.com/,,,,,0
2043964,Skerryvore,Doug Stewart,Skerryvore Asset Management Ltd,,https://www.skerryvoream.com/,,,,,0
1559706,Slate Path,David Greenspan,Slate Path Capital LP,,https://www.slatepathcapital.com/,,,,,0
1967706,Sparta 24,Alon Gonen,Sparta 24 Ltd.,,,,,,,0
1543170,Spruce House,James Lindstrom,Spruce House Investment Management LLC,,https://www.sprucehousecapital.com/,,,,,0
2097595,Steadtrust,Thomas Kowalczyk,Steadtrust LLC,,,,,,,0
1844008,Steadview,Ravi Mehta,Steadview Capital Management LLC,,https://www.steadview.com/,,,,,0
1840750,Stenham,Kevin Arenson,Stenham Asset Management Ltd,,https://www.stenhamassetmanagement.com/,,,,,0
1965239,STF,Jonathan Molchan,STF Management LP,,https://www.sheltoncap.com/,,,,,0
1592413,Strategy,Hamilton Helmer & John Rutherford,"Strategy Capital, LP",,https://strategycapital.com/,,,,,0
1389234,Symmetry Peak,Quint Slattery,Symmetry Peak Management LLC,,https://symmetrypeak.com/,,,,,0
1905669,Synergy,Palash Islam,"Synergy Financial Group, LTD",,https://www.synergyfg.com/,,,,,0
2026352,Talaria,Jamie Mead,Talaria Asset Management Pty Ltd,,https://talariacapital.com.au/,,,,,0
2041062,Talos,Franklin Keller,Talos Eurisko Asset Management LP,,https://www.talosfunds.com/,,,,,0
2054965,TFI Allianz Polska,Robert Hoerberg,Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.,,https://www.allianz.pl/,,,,,0
1688511,ThornTree,Mark Moore,"Thorntree Capital Partners, LP",,https://www.thorntreecap.com/,,,,,0
1765681,Thrive,Joshua Kushner,"Thrive Capital Management, LLC",,https://www.thrivecap.com/,,,,,0
1167483,Tiger Global,Chase Coleman,"Tiger Global Management, LLC",,https://www.tigerglobal.com/,,,,,0
1666786,Traynor,Keith Traynor,"Traynor Capital Management, Inc.",,https://traynorcapitalmanagement.com/,,,,,0
1555623,Trivest,Xue Lan,Trivest Advisors Ltd,,https://www.trivest-advisors.com/,,,,,0
1807902,Trybe,Jasjit Rekhi,Trybe Capital Management LP,,,,,,,0
861177,UBS AM,Aleksandar Ivanovic,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",,https://www.ubs.com/,,,,,0
